"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sarcophagidae;g__Sarcophaga"	7384		"Genus"	"Omnivores"	"Yes"	"Larvae feed on dead arthropods, snails and small vertebrates which they can use as scavengers, parasitoids or predators, adults feed on sugar, carrion and dung."	"Brousseau, P-M., Giroux, M., Handa, I.T, 2020. First record on the biology of Sarcophaga (Bulbostyla) (Diptera, Sarcophagidae). ZooKeys 909, 59-66. https://doi.org/10.3897/zookeys.909.46488"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera"	7399		"Order"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Diadromus;s__Diadromus collaris"	7421		"Species"	"Carnivores"	"No"		"Zhao, W., Dong, S., Shi, M., Chen, X.-X., 2014. Morphology and Development of Immature Stage of Diadromus collaris (Hymenoptera: Ichneumonidae), an Important Endoparasitoid of Plutella xylostella (Lepidoptera: Plutellidae). Annals of the Entomological Society of America 107(1), 234–241. https://doi.org/10.1603/an12132"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Apis;s__Apis mellifera"	7460	"Apis mellifica"	"Species"	"Herbivores"	"No"		"Taha, E.K.A., 2015. A study on nectar and pollen sources for honeybee, Apis mellifera L. in Al-Ahsa Saudi Arabia. Journal of Entomology and Zoology Studies 3(3), 272-277."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Trichogrammatidae;g__Trichogramma"	7490		"Genus"	"Omnivores"	"Yes"	"Larvae are parassitoids, adults feed on nectar"	"Gurr, G.M., Nicol, H.I., 2000. Effect of food on longevity of adults of Trichogramma carverae Oatman and Pinto and Trichogramma nr brassicae Bezdenko (Hymenoptera: Trichogrammatidae). Australian Journal of Entomology 39, 185-187. https://doi.org/10.1046/j.1440-6055.2000.00159.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Mantodea;f__Mantidae"	7505		"Family"	"Carnivores"	"No"		"Gullan, P.J., Cranston, P.S., 2014. The Insects: An Outline of Entomology, Fifth ed. Wiley-Blackwell,"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Siphonaptera"	7509		"Order"	"Omnivores"	"Yes"	"Larvae are detritivores, adults are hematophagous"	"https://ucmp.berkeley.edu/arthropoda/uniramia/siphonaptera.html"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera"	7524		"Order"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Chilopoda"	7540		"Class"	"Carnivores"	"No"		"Potapov, A.M., Beaulieu, F., Birkhofer, K., Bluhm, S.L., Degtyarev, M.I., Devetter, M., Goncharov, A.A., Gongalsky, K.B., Klarner, B., Korobushkin, D.I., Liebke, D.F., Maraun, M., Mc Donnell, R.J., Pollierer, M.M., Schaefer, I., Shrubovych, J., Semenyuk, I.I., Sendra, A., Tuma, J., Tůmová, M., Vassilieva, A.B., Chen, T.-W., Geisen, S., Schmidt, O., Tiunov, A.V., Scheu, S., 2022. Feeding habits and multifunctional classification of soil-associated consumers from protists to vertebrates. Biological Reviews 97(3), 1057-1117. https://doi.org/10.1111/brv.12832"
"k__Metazoa;p__Arthropoda;c__Chilopoda;o__Lithobiomorpha;f__Lithobiidae;g__Lithobius;s__Lithobius forficatus"	7552	"Scolopendra forficata"	"Species"	"Carnivores"	"No"		"Schneider, F.D., Scheu, S., Brose, U., 2012. Body mass constraints on feeding rates determine the consequences of predator loss. Ecology Letters 15(5), 436–443. https://doi.org/10.1111/j.1461-0248.2012.01750.x"
"k__Metazoa;p__Arthropoda;c__Diplopoda"	7553		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Acrididae;g__Chorthippus"	13008		"Genus"	"Herbivores"	"No"		"Hudewenz, A., Klein, A.-M., Scherber, C., Stanke, L., Tscharntke, T., Vogel, A., Weigelt, A., Weisser, W. W., Ebeling, A., 2012. Herbivore and pollinator responses to grassland management intensity along experimental changes in plant species richness. Biological Conservation 150(1), 42–52. https://doi.org/10.1016/j.biocon.2012.02.024"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Dermaptera;f__Forficulidae;g__Forficula"	13067		"Genus"	"Omnivores"	"No"		"Shylesha, A.N., Jalali, S.K., Gupta, A., Varshney, R., Venkatesan, T., Shetty, P., Ojha, R., Ganiger, P.C., Navik, O., Subaharan, K., Bakthavatsalam, N., Ballal, C.R., Raghavendra, A., 2018. Studies on new invasive pest Spodoptera frugiperda (J.E. Smith) (Lepidoptera: Noctuidae) and its natural enemies. Journal of Biological control 32(3), 145-151. https://doi.org/10.18311/JBC/2018/21707.  / Johnson, J.B., McCaffrey, J.P., Merickel, F.W., 1992. Endemic phytophagous insects associated with yellow starthistle in northern Idaho. Pan-Pacific Entomologist 68(3), 169-173."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Melaphis;s__Melaphis rhois"	13142	"Byrsocrypta rhois"	"Species"	"Herbivores"	"No"		"Fernandes, G.W., Castro, F.M.C., Frazier, E., 1999. Leaflet abscission caused by a gall induced by Melaphis rhois (Homoptera: Aphididae) on Rhus glabra (Anacardiaceae). International Journal of Ecology and Environmental Sciences 25(1), 63–69."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Myzus;s__Myzus persicae"	13164	"Aphis persicae;Myzus (Nectarosiphon) persicae"	"Species"	"Herbivores"	"No"		"Ali, J., Bayram, A., Mukarram, M., Zhou, F., Karim, M.F., Hafez, M.M.A., Shamsi, I.H., 2023. Peach–potato aphid Myzus persicae: Current management strategies, challenges, and proposed solutions. Sustainability 15(14), 11150. https://doi.org/10.3390/su151411150"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Pemphigus"	13192		"Genus"	"Herbivores"	"No"		"https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5351722.pdf"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae;g__Lucilia;s__Lucilia sericata"	13632	"Musca sericata;Phaenicia sericata"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults feed on sugary substances"	"Martin, C., Verheggen, F., 2018. Behavioural response of Lucilia sericata to a decaying body infested by necrophagous insects. Physiological Entomology 43(3), 188–195. https://doi.org/10.1111/phen.12244. / Alqurashi, S., English, S., Wall, R., 2019. Nutritional requirements for reproduction and survival in the blowfly Lucilia sericata. Medical and Veterinary Entomology 34(2), 207–214. https://doi.org/10.1111/mve.12425"
"k__Metazoa;p__Annelida;c__Clitellata;o__Arhynchobdellida"	27386	"Arhynchobdellae;Arhynchobdelliformes"	"Order"	"Carnivores"	"No"	"In addition to the sanguivorous aquatic and terrestrial jungle leeches, other arhynchobdellid groups occupy various niches as non-sanguivorous predators of oligochaetes or of aquatic invertebrate larvae"	"Borda, E., Siddall, M .E., 2004 .Arhynchobdellida (Annelida: Oligochaeta: Hirudinida): phylogenetic relationships and evolution .Molecular Phylogenetics and Evolution 30(1), 213–225 .https://doi.org/10.1016/j.ympev.2003.09.002 ."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Dermaptera"	27434		"Order"	"NA"	"NA"	"Different feeding habits within the order"	
