"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Flosculariacea;f__Flosculariidae;g__Collotheca;s__Collotheca campanulata"	360645	"Floscularia campanulata"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploimia;f__Gastropidae;g__Ascomorpha;s__Ascomorpha ovalis"	360655	"Anapus ovalis"	"Species"	"Microbivores"	"No"		"Stelzer, C.P., 1998. Feeding behaviour of the rotifer Ascomorpha ovalis: functional response, handling time and exploitation of individual Ceratium cells. Journal of plankton research 20(6), 1131-1144."
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Dicranophoridae;g__Encentrum"	360660		"Genus"	"Detritivores"	"No"		"Chengalath, R., 1985. The Rotifera of the Canadian Arctic sea ice, with description of a new species. Canadian Journal of Zoology 63(9), 2212–2218. https://doi.org/10.1139/z85-326"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Brachionidae;g__Mytilina;s__Mytilina mucronata"	360681	"Brachionus mucronatus"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Synchaetidae;g__Ploesoma;s__Ploesoma hudsoni"	360690	"Gastropus hudsoni"	"Species"	"Carnivores"	"No"		"Rogozin, A.G., 2022. Materials on the Fauna and Ecology of Rotifers in the Urals: The Family Synchaetidae (Rotifera, Eurotatoria, Ploima), the Genera Ploesoma and Synchaeta. Biology bulletin of the Russian Academy of Sciences 49, 1469–1481. https://doi.org/10.1134/S1062359022090308"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Trichocercidae;g__Trichocerca;s__Trichocerca rattus"	360705	"Trichoda rattus"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Trichocercidae;g__Trichocerca;s__Trichocerca tenuior"	360706	"Coelopus tenuior"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Hirschmanniella;s__Hirschmanniella gracilis"	362339	"Tylenchus gracilis"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Merliniidae;g__Amplimerlinius;s__Amplimerlinius icarus"	364564	"Tylenchorhynchus icarus"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Tylenchidae;g__Basiria;s__Basiria gracilis"	364566	"Psilenchus gracilis"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Sphaerulariidae;g__Sphaerularia"	364606		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Allantonematidae;g__Howardula;s__Howardula phyllotretae"	364608		"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__Oligotrophus;s__Oligotrophus juniperinus"	365599	"Tipula juniperana"	"Species"	"Herbivores"	"No"	"Causes leaf galls on the branches of Juniperus"	"Skuhravá, M., Skuhravý, V., 2012. Gall midges (Diptera: Cecidomyiidae: Cecidomyiinae) of Norway. Acta Societatis Zoologicae Bohemicae 76(1-2), 85-125."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__Oligotrophus;s__Oligotrophus panteli"	365600		"Species"	"Herbivores"	"No"	"Causes leaf galls on the branches of Juniperus"	"Harris, K.M., Sato, S., Uechi, N., Yukawa, J., 2006. Redefinition of Oligotrophus (Diptera: Cecidomyiidae) based on morphological and molecular attributes of species from galls on Juniperus (Cupressaceae) in Britain and Japan. Entomological Science 9(4), 411–421. https://doi.org/10.1111/j.1479-8298.2006.00187.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae;g__Calliphora;s__Calliphora loewi"	367294		"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults feed on sugary substances"	"Entwistle, P.F., Johnson, C.G., Dunn, E., 1959. New Pests of Cocoa (Theobroma cacao L.) in Ghana following Applications of Insecticides. Nature 184(4704), 2040–2040. https://doi.org/10.1038/1842040a0 / Saari, S., Näreaho, A., Nikander, S., 2018. Canine Parasites and Parasitic Diseases. Academic Press, London. https://doi.org/10.1016/C2016-0-05286-5"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Paratrichodorus;s__Paratrichodorus divergens"	368043		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Hybotidae;g__Trichinomyia;s__Trichinomyia flavipes"	369858		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Empididae;g__Oreogeton;s__Oreogeton scopifer"	369869	"Gloma scopifer"	"Species"	"Carnivores"	"No"		"Glime, J.M., 2017. Aquatic Insects: Holometabola – Diptera, Suborder Brachycera. In: Glime, J. M. (Ed.), Bryological Interaction 2(11-14), Michigan Technological University, Houghton, pp. 2-11."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotomiella;s__Isotomiella minor"	370032	"Isotoma minor"	"Species"	"Fungivores"	"No"		"Tranvik, L., Eijsackers, H., 1989. On the advantage of Folsomia fimetarioides over Isotomiella minor (Collembola) in a metal polluted soil. Oecologia 80(2), 195–200. https://doi.org/10.1007/bf00380150."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae;g__Argyroneta;s__Argyroneta aquatica"	375087	"Araneus aquaticus"	"Species"	"Carnivores"	"No"	"Mosquito predator"	"Perevozkin, V.P., Lukyantsev, S.V., Gordeev, M.I., 2004. Comparative Analysis of Foraging Behavior in Aquatic and Semiaquatic Spiders of the Genera Argyroneta, Dolomedes, Pirata, and Pardos.Russian Journal of Ecology 35(2), 103–109. https://doi.org/10.1023/b:ruse.0000018935.70179"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Pseudacteon"	378799		"Genus"	"Omnivores"	"Yes"	"Larvae are parasitoids of ants, adults feed on honeydew, plant sap, and nectar"	"Morrison, L. W., 2012. Biological Control of Solenopsis Fire Ants by Pseudacteon Parasitoids: Theory and Practice. Psyche: A Journal of Entomology 2012, 1–11. https://doi.org/10.1155/2012/424817 /  Porter, S.D., Morrison, L.W., 2021. Fire ant decapitating fly (Pseudacteon spp.). New York State Integrated Pest Management, Cornell University. Available at: https://cals.cornell.edu/new-york-state-integrated-pest-management/outreach-education/fact-sheets/fire-ant-decapitating-fly-pseudacteon-spp"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__Forcipomyia;s__Forcipomyia bipunctata"	381077		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__Forcipomyia;s__Forcipomyia tenuis"	381079	"Ceratopogon tenuis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Pratylenchus;s__Pratylenchus hippeastri"	384640	"Nematoda sp. HEREDIA"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Lordalychidae"	386818		"Family"	"Fungivores"	"No"	"Probably feeds on fungi"	"Walter, D.E., Latonas, S., 2011. Almanac of Alberta Acari Part II, The Royal Alberta Museum, Edmonton (AB)."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Oehserchestidae"	386821		"Family"	"Fungivores"	"No"		"Walter, D.E., Latonas, S., 2011. Almanac of Alberta Acari Part II, The Royal Alberta Museum, Edmonton (AB)."
"k__Metazoa;p__Arthropoda;c__Ostracoda;o__Podocopida;f__Cyprididae;g__Strandesia;s__Strandesia uenoi"	388411		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae;g__Oliarus;s__Oliarus slossonae"	390106		"Species"	"Herbivores"	"No"		"https://flow.hemiptera-databases.org/flow/?page=explorer&db=flow&lang=en&card=autotext&id=21425&loading=1"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Eupodidae"	393868		"Family"	"Fungivores"	"No"		"Coleman, D.C., Crossley Jr., D.A., Hendrix, P.F., 2004. Fundamentals of soil ecology, second ed. Elsevier, Amsterdam. https://doi.org/10.1016/C2015-0-04083-7"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Helophoridae;g__Helophorus;s__Helophorus arvernicus"	395079		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Boletina"	397111		"Genus"	"Detritivores"	"No"	"Larvae feed on detritus and fungi"	"Martinsson, S., Kjærandsen, J. Sundberg, P., 2011. Towards a molecular phylogeny of the fungus gnat genus Boletina (Diptera: Mycetophilidae). Zoologica Scripta 40, 272-281. https://doi.org/10.1111/j.1463-6409.2011.00474.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Epicypta"	397117		"Genus"	"Fungivores"	"No"	"Larvae are likely fungivores"	"Jakovlev, J., 2012. Fungal hosts of mycetophilids (Diptera: Sciaroidea excluding Sciaridae): a review. Mycology 3(1), 11–23. https://doi.org/10.1080/21501203.2012.662533"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Phronia"	397119		"Genus"	"Fungivores"	"No"		"Jakovlev, J., 2012. Fungal hosts of mycetophilids (Diptera: Sciaroidea excluding Sciaridae): a review. Mycology 3(1), 11–23. https://doi.org/10.1080/21501203.2012.662533"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Exechia"	397139		"Genus"	"Fungivores"	"No"		"Hackman, W., Meinander, M., 1979. Diptera feeding as larvae on macrofungi in Finland. Annales Zoologici Fennici 16, 50–83."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Mycetophila"	397146		"Genus"	"Fungivores"	"No"	"Larvae feed on fungi"	"Jakovlev, J., 2012. Fungal hosts of mycetophilids (Diptera: Sciaroidea excluding Sciaridae): a review. Mycology 3(1), 11–23. https://doi.org/10.1080/21501203.2012.662533"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Barypeithes;s__Barypeithes pellucidus"	397350	"Barypeithes (Exomias) pellucidus;Exomias pellucidus"	"Species"	"Herbivores"	"No"		"Bouchard, P., Bostanian, N. J., 2004. A survey of weevils in Quebec vineyards. In: The 2004 ESA Annual Meeting and Exhibition, 7-10 November 2004, Salt Lake City, Utah. Entomological Society of America."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Thrips;s__Thrips nigropilosus"	407017		"Species"	"Herbivores"	"No"		"https://thripsnet.zoologie.uni-halle.de/key-server-neu/data/0a0b0a0e-0d03-4106-8306-08060a080902/media/Html/Thrips%20nigropilosus.html#:~:text=Thrips%20nigropilosus%20is%20a%20common,shorter%20than%20width%20of%20thorax)."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Aphelenchoididae;g__Aphelenchoides;s__Aphelenchoides ritzemabosi"	409481	"Aphelenchus ritzemabosi"	"Species"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Telotylenchidae;g__Tylenchorhynchus;s__Tylenchorhynchus leviterminalis"	410331		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Camisiidae;g__Camisia;s__Camisia biurus"	412820		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Branchiopoda;o__Diplostraca;f__Macrotrichidae;g__Wlassicsia;s__Wlassicsia pannonica"	423272		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Latridiidae;g__Melanophthalma"	433122		"Genus"	"Fungivores"	"No"		"Abied, M.K.A., Salem, M.M., 2014. Taxonomic studies on family Lathridiidae (order: Coleoptera) in Egypt. Journal of Plant Protection and Pathology 5(1), 131-149."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chaetosomatidae;g__Dasytidius;s__Dasytidius gracilis"	433213		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Thelastomatidae;g__Leidynema"	435734		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Sphaerulariidae;g__Sphaerularia;s__Sphaerularia vespae"	436487		"Species"	"Carnivores"	"No"		"Kanzaki, N., Kosaka, H., Sayama, K., Takahashi, J., Makino, S., 2007. Sphaerularia vespae sp. nov. (Nematoda, Tylenchomorpha, Sphaerularioidea), an Endoparasite of a Common Japanese Hornet, Vespa simillima Smith (Insecta, Hymenoptera, Vespidae). Zoological Science 24(11), 1134–1142. https://doi.org/10.2108/zsj.24.1134."
"k__Metazoa;p__Nematoda;c__Enoplea;o__Enoplida;f__Trischistomatidae;g__Tripylina"	438483		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Neelipleona;f__Neelidae;g__Megalothorax"	438499		"Genus"	"Microbivores"	"No"		"Schneider, C., Zon, S.D., D’Haese, C.A., 2018. Megalothorax laevis (Neelipleona, Neelidae): Account of a neglected springtail widely distributed in the intertropical zone. International Journal of Tropical Insect Science 38(3), 168–191. https://doi.org/10.1017/s1742758418000024"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Neelipleona;f__Neelidae;g__Megalothorax;s__Megalothorax minimus"	438500		"Species"	"Bacterivores"	"No"		"Gillet, S., Ponge, J.-F., 2005. Species assemblages and diets of Collembola in the organic matter accumulated over an old tar deposit. European Journal of Soil Biology 41(1–2), 39–44. https://doi.org/10.1016/j.ejsobi.2005.07.001"
"k__Metazoa;p__Arthropoda;c__Diplopoda;o__Julida;f__Julidae;g__Cylindroiulus;s__Cylindroiulus caeruleocinctus"	438504	"Iulus caeruleocinctus"	"Species"	"Detritivores"	"No"		"Ardestani, M., Šustr, V., Frouz, J., 2019. Consumption Performance of Five Detritivore Species Feeding on Alnus glutinosa L. leaf Litter in a Microcosm Experiment. Forests 10(12), 1080. https://doi.org/10.3390/f10121080"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Tenebrionidae;g__Cteniopus;s__Cteniopus sulphureus"	442086	"Chrysomela sulphurea;Cteniopus flavus"	"Species"	"Omnivores"	"Yes "	"Larvae are detritivores, adults feed on pollen and nectar"	"Dura, T., 2015. Cteniopus sulphureus L., coleottero Tenebrionidæ Alleculinæ, nuovo potenziale impollinatore occasionale di Himantoglossum adriaticum. GIROS Orch. Spont. Eur. 58(1), 160-165. / Morozko, A., Kolesnichenko, O., Puzrina, N. 2021. Analysis of the species composition of prevailing pests of Araliaceae Juss. In Kyiv, Ukraine. AgroLife Scientific Journal, 10(2)."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Throscidae;g__Trixagus;s__Trixagus carinifrons"	442101		"Species"	"Fungivores"	"No"		"Piętka, J., Borowski, J., Byk, A., 2022. Tree-fungus beetles collected on sawdust substrate with mycelium of selected fungal species on trees at the Experimental Forest Station in Rogów (central Poland). Bonn Zoological Bulletin 71(1)."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptiliidae;g__Pteryx;s__Pteryx suturalis"	442149		"Species"	"Fungivores"	"No"		"Thunes, K.H., Willassen, E., 1997. Species composition of beetles (Coleoptera) in the bracket fungi Piptoporus betulinus and Fomes fomentarius (Aphyllophorales: Polyporaceae): an explorative approach with canonical correspondence analysis. Journal of Natural History 31(3), 471–486. https://doi.org/10.1080/00222939700770241"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Selatosomus;s__Selatosomus aeneus"	445448		"Species"	"Herbivores"	"No"	"Larvae are phytophagous"	"Mulerčikas P., Tamutis V., Kazlauskaitė S., 2012. Species Composition and Abundance of Click-Beetles (Coleoptera, Elateridae) in Agrobiocenozes in Southern Lithuania. Polish Journal of Environmental Studies 21(2), 425-433."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Plectida;f__Plectidae;g__Plectus;s__Plectus minimus"	446301		"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Leptophlebiidae;g__Habroleptoides;s__Habroleptoides confusa"	446377		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Heptagenia;s__Heptagenia sulphurea"	446444	"Ephemera sulphurea"	"Species"	"Detritivores"	"No"		"Peeters, E.T.H.M., Brugmans, B.T.M.J., Beijer, J.A.J., Franken, R.J.M., 2006. Effect of Silt, Water and Periphyton Quality on Survival and Growth of the Mayfly Heptagenia  Sulphurea. Aquatic Ecology 40(3), 373–380. https://doi.org/10.1007/s10452-005-9026-y"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Leptophlebiidae;g__Paraleptophlebia;s__Paraleptophlebia submarginata"	446454	"Ephemera submarginata"	"Species"	"Detritivores"	"No"		"López-Rodríguez, M.J., Figueroa, J., Alba-Tercedor, J., 2010. Comparative study of the nymphal biology of two coexisting species of mayflies (Insecta: Ephemeroptera) in a Mediterranean stream in Southern Europe. International Review of Hydrobiology 95, 58–71. https://doi.org/10.1002/iroh.200811197."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Phlaeothripidae;g__Haplothrips;s__Haplothrips aculeatus"	450991	"Haplothrips (Haplothrips) aculeatus;Thrips aculeatus"	"Species"	"Herbivores"	"No"		"Kalaisekar, A., Padmaja, P.G., Bhagwat, V.R., Patil, J.V., 2017. Systematics and Taxonomy. In: Kalaisekar, A., Padmaja, P.G., Bhagwat, V.R., Patil, J.V. (Eds.), Insect Pests of Millets. Academic Press, London, pp. 27–72. https://doi.org/10.1016/b978-0-12-804243-4.00002-1"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__Forcipomyia;s__Forcipomyia hygrophila"	451884		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Reduviidae;g__Sycanus;s__Sycanus croceovittatus"	452395	"Cimex bifidus;Reduvius bifidus;Sycanus croceovittatus;Sycanus leucomesus;Sycanus villicus"	"Species"	"Carnivores"	"No"		"Wu, C., Li, L., Wang, Y., Wei, S., Zhu, J., 2023. Morphological, functional, compositional and transcriptional constraints shape the distinct venom profiles of the assassin bug Sycanus croceovittatus. International Journal of Biological Macromolecules 250, 126162. https://doi.org/10.1016/j.ijbiomac.2023.126162"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Trichinellida;f__Capillariidae;g__Eucoleus"	455382		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Neotylenchidae;g__Ficotylus;s__Ficotylus congestae"	458166		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Monhysterida;f__Monhysteridae;g__Geomonhystera;s__Geomonhystera villosa"	459097	"Monhystera villosa"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Isohypsibiidae;g__Isohypsibius;s__Isohypsibius prosostomus"	459430	"Hypsibius prosostomus"	"Species"	"Carnivores"	"No"		"Schill, R.O. (Ed.), 2019. Water Bears: The Biology of Tardigrades, Springer, Cham."
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Ramazzottiidae;g__Ramazzottius;s__Ramazzottius oberhaeuseri"	459434	"Hypsibius oberhaeuseri"	"Species"	"Herbivores"	"No"		"Lehmann, R.E., Shively, S.D., Miller, W.R., 2007. Tardigrades of North America: An historical collection from Kansas and Missouri. Transactions of the Kansas Academy of Science 110(3), 169–178. https://doi.org/10.1660/0022-8443(2007)110[169:tonaah]2.0.co;2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Zygentoma;f__Nicoletiidae;g__Atelura;s__Atelura formicaria"	459531		"Species"	"Detritivores"	"No"		"Scholtz, G., 2021. Ein neuer Fund des Ameisenfischchens Atelura formicaria in Berlin. Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin (N.F.) 55, 69–77."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Hoplia;s__Hoplia graminicola"	465125	"Melolontha graminicola"	"Species"	"Herbivores"	"No"		"Perry, E.J., UC Cooperative Extension (emeritus), Stanislaus Co., 2020. Hoplia beetles. UC IPM Pest Notes. University of California Agriculture and Natural Resources. Available at: https://ipm.ucanr.edu/PMG/PESTNOTES/pn7499.html"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Perlodidae;g__Isoperla;s__Isoperla oxylepis"	466564	"Chloroperla grammatica oxylepis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__Leuctra inermis"	466568		"Species"	"Omnivores"	"Yes"	"Nymphs are mainly detritivores, adults feed on pollen or other sugar solutions"	"Lancaster, J., Waldron, S., 2001. Stable isotope values of lotic invertebrates: Sources of variation, experimental design, and statistical interpretation. Limnology and Oceanography 46(3), 723–730. https://doi.org/10.4319/lo.2001.46.3.0723 / Mc Conigley, C., Lally, H., Kelly-Quinn, M., 2020. Investigating the feeding preferences of adult Leuctra inermis, for the pollen of typical riparian tree species. Biology and Environment: Proceedings of the Royal Irish Academy 120B(3), 203–207. https://doi.org/10.1353/bae.2020.0004"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Nemouridae;g__Protonemura;s__Protonemura meyeri"	466578	"Nemoura meieri;Nemoura meyeri;Protonemoura meyeri"	"Species"	"Omnivores"	"Yes "	"Nymphs are mainly detritivores, adults feed also on pollen"	"Rúa, J., Tierno De Figueroa, J.M., Garrido, J., 2017. Contribution to the knowledge of the adult feeding of Nemouroidea stoneflies (Insecta: Plecoptera). Entomological Science 20(1), 235–244. https://doi.org/10.1111/ens.12252 / Feeley, H. B., Kelly-Quinn, M., 2015. The nymphal diet of the stonefly Protonemura meyeri (Pictet) (Plecoptera: Nemouridae) in four episodically acidic headwater streams in Ireland. The Irish Naturalists’ Journal 34(2), 104–109. http://www.jstor.org/stable/44577794"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Plecoptera;f__Chloroperlidae;g__Chloroperla;s__Chloroperla tripunctata"	466662		"Species"	"Omnivores"	"No"	"Adults of this family are known to feed on a range of pollen types (e.g. conifer), fine particulate organic matter, coarse particulate organic matter, and spores and hyphae of ascomycetes fungi and may actually predate"	"Feeley, H.B., Baars J-R., Kelly-Quinn, M., 2016. The Stonefly (Plecoptera) of Ireland – Distribution, Life Histories & Ecology. National Biodiversity Data Centre, Waterford."
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Hypsibiidae;g__Acutuncus"	467036		"NA"	"NA"	"NA"		
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Hypsibiidae;g__Acutuncus;s__Acutuncus antarcticus"	467037	"Macrobiotus antarcticus"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Asilidae;g__Neoitamus;s__Neoitamus cyanurus"	468767	"Itamus cyanurus"	"Species"	"Carnivores"	"No"		"Kone, M., Coulibaly, D., Doh, F., Sangare, W.K., Tuo, Y., 2024. Effect of crop association on insect pest diversity in northern Côte d’Ivoire. Journal of Entomology and Zoology Studies 12(4), 56–62. https://doi.org/10.22271/j.ento.2024.v12.i4a.9350"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Tetragnathidae;g__Leucauge;s__Leucauge argyra"	472971	"Tetragnatha argyra"	"Species"	"Carnivores"	"No"		"Aisenberg, A., Barrantes, G., 2011. Sexual behavior, cannibalism, and mating plugs as sticky traps in the orb weaver spider Leucauge argyra (Tetragnathidae). Naturwissenschaften 98(7), 605–613. https://doi.org/10.1007/s00114-011-0807-y"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Tetragnathidae;g__Metellina;s__Metellina merianae"	473146	"Aranea merianae"	"Species"	"Carnivores"	"No"		"Novak, T., Tkavc, T., Kuntner, M., Arnett, A.E., Delakorda, S.L., Perc, M., Janžekovič, F., 2010. Niche partitioning in orbweaving spiders Meta menardi and Metellina merianae (Tetragnathidae). Acta Oecologica 36(6), 522–529. https://doi.org/10.1016/j.actao.2010.07.005"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Rhabditis;s__Rhabditis brassicae"	473155		"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Oscheius;s__Oscheius dolichura"	473156	"Dolichorhabditis dolichura"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Choriorhabditis;s__Choriorhabditis cristata"	473158		"Species"	"Bacterivores"	"No"		"Vrielink J.O., 2022. Characterizing nematode communities in various types of environmental samples using Oxford Nanopore sequencing.  Wageningen University, Thesis, 28 pp. https://edepot.wur.nl/575615"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Pelodera;s__Pelodera pseudoteres"	473159	"Rhabditis pseudoteres"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Sancassania;s__Sancassania nesbitti"	474070	"Sancassania (Rhizoglyphoides) nesbitti"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Naiadacarus;s__Naiadacarus arboricola"	474228		"Species"	"Detritivores"	"No"		"Fashing, N.J., 1975. Life history and general biology of Naiadacarus arboricola Fashing, a mite inhabiting water-filled treeholes (Acarina: Acaridae). Journal of Natural History 9(4), 413–424. https://doi.org/10.1080/00222937500770321"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Acaridae;g__Schwiebea;s__Schwiebea pseudotsugae"	474285		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Onthophagus;s__Onthophagus nigriventris"	476074		"NA"	"NA"	"NA"		
